"sample","gsm","cell_line","condition","timepoint"
"SRR27961772","GSM8076559","Calu-3/2B4","Mock","48hpi"
"SRR27961773","GSM8076558","Calu-3/2B4","Mock","48hpi"
"SRR27961774","GSM8076557","Calu-3/2B4","Mock","48hpi"
"SRR27961775","GSM8076556","Calu-3/2B4","Mock","24hpi"
"SRR27961776","GSM8076555","Calu-3/2B4","Mock","24hpi"
"SRR27961777","GSM8076554","Calu-3/2B4","Mock","24hpi"
"SRR27961778","GSM8076553","Calu-3/2B4","Mock","12hpi"
"SRR27961779","GSM8076552","Calu-3/2B4","Mock","12hpi"
"SRR27961780","GSM8076551","Calu-3/2B4","Mock","12hpi"
"SRR27961781","GSM8076550","Calu-3/2B4","SARS2","48hpi"
"SRR27961782","GSM8076549","Calu-3/2B4","SARS2","48hpi"
"SRR27961783","GSM8076548","Calu-3/2B4","SARS2","48hpi"
"SRR27961784","GSM8076547","Calu-3/2B4","SARS2","24hpi"
"SRR27961785","GSM8076546","Calu-3/2B4","SARS2","24hpi"
"SRR27961786","GSM8076545","Calu-3/2B4","SARS2","24hpi"
"SRR27961787","GSM8076544","Calu-3/2B4","SARS2","12hpi"
"SRR27961788","GSM8076543","Calu-3/2B4","SARS2","12hpi"
"SRR27961789","GSM8076542","Calu-3/2B4","SARS2","12hpi"
"SRR27961790","GSM8076541","Calu-3/2B4","SARS1","48hpi"
"SRR27961791","GSM8076540","Calu-3/2B4","SARS1","48hpi"
"SRR27961792","GSM8076539","Calu-3/2B4","SARS1","48hpi"
"SRR27961793","GSM8076538","Calu-3/2B4","SARS1","24hpi"
"SRR27961794","GSM8076537","Calu-3/2B4","SARS1","24hpi"
"SRR27961795","GSM8076536","Calu-3/2B4","SARS1","24hpi"
"SRR27961796","GSM8076535","Calu-3/2B4","SARS1","12hpi"
"SRR27961797","GSM8076534","Calu-3/2B4","SARS1","12hpi"
"SRR27961798","GSM8076533","Calu-3/2B4","SARS1","12hpi"
